该图表显示了中国1982年至2020年期间农村和城镇人口的出生性别比。图表中的数据以每100名活产女婴对应的活产男婴数表示。具体内容如下：
1. 标题：全国出生人口性别比
2. 横轴（X轴）：年份，从1982年到2020年
3. 纵轴（Y轴）：每100名活产女婴对应的活产男婴数，从105到125
4. 两条曲线：
- 橙色曲线代表农村，数据点分别为：
- 1982年：107.7
- 1987年：113.6
- 1990年：111.8
- 1995年：117.8
- 2000年：121.7
- 2005年：122.9
- 2010年：122.1
- 2015年：114.8
- 2020年：111.6
- 紫色曲线代表城镇，数据点分别为：
- 1982年：107.1
- 1987年：112.1
- 1990年：109.9
- 1995年：113.0
- 2000年：116.4
- 2005年：117.1
- 2010年：120.2
- 2015年：112.5
- 2020年：111.0
这个图表展示了在不同年份，农村和城镇中的出生性别比的变化趋势。总体而言，农村和城镇的出生性别比在1982年至2005年之间逐渐升高，但在2010年之后有明显的下降趋势。
